Name,Station,Code
2017-06-13 20.41.04_00148.AVI,CT02,paca
2017-06-26 02.05.46_00149.AVI,CT02,paca
2017-06-26 21.29.58_00150.AVI,CT02,paca
2017-07-03 03.16.56_00151.AVI,CT02,paca
2017-07-04 00.34.40_00152.AVI,CT02,paca
2017-07-11 20.12.58_00153.AVI,CT02,paca
2017-05-01 16.07.00_00154.AVI,CT02,people
2017-05-01 16.08.04_00155.AVI,CT02,people
2017-05-01 16.10.42_00156.AVI,CT02,people
2017-05-29 09.33.48_00157.AVI,CT02,people
2017-05-19 23.02.52_00158.AVI,CT02,raccoon
2017-05-21 18.41.26_00159.AVI,CT02,raccoon
2017-05-22 15.09.28_00160.AVI,CT02,raccoon
2017-05-23 06.17.40_00161.AVI,CT02,raccoon
2017-05-31 18.39.34_00162.AVI,CT02,raccoon
2017-06-22 04.42.40_00163.AVI,CT02,raccoon
2017-06-24 22.22.16_00164.AVI,CT02,raccoon
2017-07-19 04.19.08_00165.AVI,CT02,raccoon
2017-07-20 04.12.08_00166.AVI,CT02,raccoon
2017-08-02 04.25.34_00167.AVI,CT02,raccoon
2017-05-29 09.41.26_00168.AVI,CT02,setup
2017-06-04 09.52.28_00169.AVI,CT02,setup
2017-08-17 10.42.26_00170.AVI,CT02,setup
2017-05-01 20.57.04_00171.AVI,CT02,tamandua
2017-06-29 23.48.44_00172.AVI,CT02,uid
2017-07-24 09.36.14_00173.AVI,CT03,agouti
2017-05-27 16.11.36_00174.AVI,CT03,bird_small_uid
2017-06-14 09.32.30_00175.AVI,CT03,bird_small_uid
2017-06-16 08.16.10_00176.AVI,CT03,bird_small_uid
2017-06-16 08.44.04_00177.AVI,CT03,bird_small_uid
2017-06-20 09.12.54_00178.AVI,CT03,bird_small_uid
2017-05-24 15.28.52_00179.AVI,CT03,capuchin_whitefaced
2017-05-24 15.30.04_00180.AVI,CT03,capuchin_whitefaced
2017-05-24 15.30.50_00181.AVI,CT03,capuchin_whitefaced
2017-05-03 08.41.24_00182.AVI,CT03,coati
2017-05-04 14.10.06_00183.AVI,CT03,coati
2017-05-04 14.12.24_00184.AVI,CT03,coati
2017-05-04 14.13.56_00185.AVI,CT03,coati
2017-05-04 14.16.12_00186.AVI,CT03,coati
2017-05-04 14.18.02_00187.AVI,CT03,coati
2017-05-05 09.04.32_00188.AVI,CT03,coati
2017-05-05 09.24.40_00189.AVI,CT03,coati
2017-05-05 09.30.54_00190.AVI,CT03,coati
